Row_Id,External_Key,Corporate_Account_ExternalKey,Account_ID,Main_Address,Ship_To,Default_Ship_To,Bill_To,Default_Bill_To,Country,State,co,Address_Line_1,Address_Line_2,House_Number,Street,Address_Line_4,Address_Line_5,District,City,Different_City,Postal_Code,County,Company_Postal_Code,PO_Box_Address,PO_Box,PO_Box_Postal_Code,PO_Box_Country,PO_Box_State,PO_Box_City,Time_Zone,Latitude,Longitude,Building,Floor,Room,Phone,Mobile,Fax,EMail,Web_Site,Language,Best_Reached_By,LKHFC05_Complex,LKhfc05_complexcurrencyCode,zjd_Ind_Cust_Amt,zjdIndCustAmtcurrencyCode_KUT
1,Checkactadd_key_1,CheckH4dKEy_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Checkactadd_key_10,CheckH4dKEy_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Checkactadd_key_100,CheckH4dKEy_100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,Checkactadd_key_1000,CheckH4dKEy_1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000,Checkactadd_key_10000,CheckH4dKEy_10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000,Checkactadd_key_100000,CheckH4dKEy_100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10001,Checkactadd_key_10001,CheckH4dKEy_10001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10002,Checkactadd_key_10002,CheckH4dKEy_10002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003,Checkactadd_key_10003,CheckH4dKEy_10003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10004,Checkactadd_key_10004,CheckH4dKEy_10004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10005,Checkactadd_key_10005,CheckH4dKEy_10005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10006,Checkactadd_key_10006,CheckH4dKEy_10006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10007,Checkactadd_key_10007,CheckH4dKEy_10007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10008,Checkactadd_key_10008,CheckH4dKEy_10008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10009,Checkactadd_key_10009,CheckH4dKEy_10009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Checkactadd_key_1001,CheckH4dKEy_1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10010,Checkactadd_key_10010,CheckH4dKEy_10010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10011,Checkactadd_key_10011,CheckH4dKEy_10011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10012,Checkactadd_key_10012,CheckH4dKEy_10012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10013,Checkactadd_key_10013,CheckH4dKEy_10013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10014,Checkactadd_key_10014,CheckH4dKEy_10014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10015,Checkactadd_key_10015,CheckH4dKEy_10015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10016,Checkactadd_key_10016,CheckH4dKEy_10016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10017,Checkactadd_key_10017,CheckH4dKEy_10017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10018,Checkactadd_key_10018,CheckH4dKEy_10018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10019,Checkactadd_key_10019,CheckH4dKEy_10019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,Checkactadd_key_1002,CheckH4dKEy_1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,